"Key","Publication Year","Author","Title","Series","Manual Tags"
"M7CTT3KF","2017","Fathalla, Said; Vahdati, Sahar; Auer, Sören; Lange, Christoph","Towards a Knowledge Graph Representing Research Findings by Semantifying Survey Articles","ECDL-TPDL","knowledge graph; surveys"
"2MUHVM7D","2017","Latard, Bastien; Weber, Jonathan; Forestier, Germain; Hassenforder, Michel","Towards a Semantic Search Engine for Scientific Articles","ECDL-TPDL","keywords; search engine; semantic search engine"
"BH9KDEBZ","2017","Witt, Nils; Seifert, Christin","Understanding the Influence of Hyperparameters on Text Embeddings for Text Classification Tasks","ECDL-TPDL","hyperparameters adaptation; machine learning algorithms; natural language processing; text classification"
"YKYKIC3V","2017","Salaba, Athena; Merčun, Tanja","User Interactions with Bibliographic Information Visualizations","ECDL-TPDL","bibliographic information; FRBR; interfaces; study; user interactions; visualizations"
"6WQD2L6N","2017","Knoth, Petr; Gooch, Phil; Jack, Kris","What Others Say About This Work? Scalable Extraction of Citation Contexts from Research Papers","ECDL-TPDL","citation contexts; citation references; extracting citation contexts; F score; F-measure"
"U75ER682","2017","Risch, Julian; Krestel, Ralf","What Should I Cite? Cross-Collection Reference Recommendation of Patents and Papers","ECDL-TPDL","case study; keywords; patents; recommender system; related work; similar papers; taxonomy; topic distributions"
"DJHRBSHC","2017","Kapidakis, Sarantos","When a Metadata Provider Task Is Successful","ECDL-TPDL","metadata harvesting; OAI services"
"FI5AKZUD","2018","Jeong, Seong-Yun","A Study on the Monetary Value Estimation of User Satisfaction with the Digital Library Service Focused on Construction Technology Information in South Korea","ECDL-TPDL","construction technology; Korea; study; user satisfaction; value estimation"
"2FXF4C99","2018","Janssen, Maarten","Adding Words to Manuscripts: From PagesXML to TEITOK","ECDL-TPDL","PagesXML; searchable; TEI; TEITOK; transcribing; XML"
"GZ7YUBS8","2018","Hoppe, Anett; Hagen, Jascha; Holzmann, Helge; Kniesel, Günter; Ewerth, Ralph","An Analytics Tool for Exploring Scientific Software and Related Publications","ECDL-TPDL","analytics tool; automatic code discovery; prototype; scientific software; SciSoftX; use case"
"GBG6JBTA","2018","Klas, Claus-Peter; Hopt, Oliver","An Operationalized DDI Infrastructure to Document, Publish, Preserve and Search Social Science Research Data","ECDL-TPDL","architecture; Data Documentation Initiative; DDI; metadata; publishing process; search functions"
"X3TRJY4R","2018","Mendes, David; Rodrigues, Irene; Fonseca, César; Lopes, Manuel; Manuel García-Alonso, José; Berrocal, Javier","Anonymized Distributed PHR Using Blockchain for Openness and Non-repudiation Guarantee","ECDL-TPDL","blockchain; clinical process; data privacy"
"9K6BU7U4","2018","Roy, Debashish; Ding, Chen; Jin, Lei; Thomas, Dana","Association Rule Based Clustering of Electronic Resources in University Digital Library","ECDL-TPDL","association rule; clustering"
"NLXNDSKS","2018","Sadhu, Susmita; Kumar Bhowmick, Plaban","Automatic Segmentation and Semantic Annotation of Verbose Queries in Digital Library","ECDL-TPDL","automatic segmentation; F1; Hidden Markov Model; HMM; NDLI; semantic annotation; sequence labeling"
"R5BSNYNZ","2018","Christianson, Aaron; Heuberger, Rachel; Risse, Thomas","Back to the Source: Recovering Original (Hebrew) Script from Transcribed Metadata","ECDL-TPDL","Judaica; transcription"
"W49BHVVM","2018","Toepfer, Martin; Seifert, Christin","Content-Based Quality Estimation for Automatic Subject Indexing of Short Texts Under Precision and Recall Constraints","ECDL-TPDL","automatic subject indexing; machine learning; Qualle; semantic annotations; semi-automatic indexing"
"755RVBEY","2018","Michael Hall, Mark","Digital Museum Map","ECDL-TPDL","cultural heritage; demo; interface; museum"
"8KWXIZ6B","2018","Fernández-del-Pino Torres, Belén; Malo-de-Molina y Martín-Montalvo, Teresa","Fair Play at Carlos III University of Madrid Library","ECDL-TPDL","FAIR; Madrid"
"FVH4UDLV","2018","Vennesland, Audun; Aalberg, Trond","False-Positive Reduction in Ontology Matching Based on Concepts’ Domain Similarity","ECDL-TPDL","Bibframe; Schema.org; study; WordNet"
"GWJ29VML","2018","Sohmen, Lucia; Charbonnier, Jean; Blümel, Ina; Wartena, Christian; Heller, Lambert","Figures in Scientific Open Access Publications","ECDL-TPDL","figures; open access; quantitative relationships"
"YXCQ385M","2018","Stork, Lise; Weber, Andreas; van den Herik, Jaap; Plaat, Aske; Verbeek, Fons; Wolstencroft, Katherine","From Handwritten Manuscripts to Linked Data","ECDL-TPDL","biodiversity data; handwriting recognition; knowledge bases; linked data; manuscripts; named entities; named entity extraction; semantic annotation; semantic web"
"PR853HSJ","2018","Rocha da Silva, João; Pereira, Nelson; Dias, Pedro; Barros, Bruno","Grassroots Meets Grasstops: Integrated Research Data Management with EUDAT B2 Services, Dendro and LabTablet","ECDL-TPDL","B2DROP; B2SHARE; Dendro; EUDAT; RDM; research data management"
"FA6PJIKA","2018","Reitz, Florian","Harnessing Historical Corrections to Build Test Collections for Named Entity Disambiguation","ECDL-TPDL","disambiguation algorithms; named entity disambiguation"
"X8WASSIL","2018","R. Ackermann, Marcel; Reitz, Florian","Homonym Detection in Curated Bibliographies: Learning from dblp’s Experience","ECDL-TPDL","bibliographic metadata; bibliographies; dblp; homonym detection; machine learning; manual curation"
"FGN9BS6P","2018","Moreux, Jean-Philippe; Chiron, Guillaume","Hybrid Image Retrieval in Digital Libraries","ECDL-TPDL","ETL; extract transform load; image retrieval; OCR"
"MDCDNKT4","2018","Limani, Fidan; Latif, Atif; Tochtermann, Klaus","Linked Publications and Research Data: Use Cases for Digital Libraries","ECDL-TPDL","linked publications; research data; scholarly resources"
"2F73QRJI","2018","Proença, Diogo; Borbinha, José","Maturity Models for Data and Information Management","ECDL-TPDL","maturity assessment; maturity model"
"DUCJ74TA","2018","Fathalla, Said; Vahdati, Sahar; Auer, Sören; Lange, Christoph","Metadata Analysis of Scholarly Events of Computer Science, Physics, Engineering, and Mathematics","ECDL-TPDL","digitization; metadata analysis; OpenResearch.org; SCImago; SJR"
"TI5ABXYV","2018","T. Al-Natsheh, Hussein; Martinet, Lucie; Muhlenbach, Fabrice; Rico, Fabien; Abdelkader Zighed, Djamel","Metadata Enrichment of Multi-disciplinary Digital Library: A Semantic-Based Approach","ECDL-TPDL","categorization; metadata; open access; semantic network; topic tagged articles"
"A8EH8NVT","2018","Kapidakis, Sarantos","Metadata Synthesis and Updates on Collections Harvested Using the Open Archive Initiative Protocol for Metadata Harvesting","ECDL-TPDL","Dublin Core; harvesting; metadata; OAI"
"MBJLAILL","2018","Morgan, Marina; Eichenlaub, Naomi","ORCID iDs in the Open Knowledge Era","ECDL-TPDL","API; ORCID; poster; Postman; RESTful API"
"6C4RRNW4","2018","Koskela, Miika; Simola, Inka; Stefanidis, Kostas","Open Source Software Recommendations Using Github","ECDL-TPDL","github; Github API; open source"
"7NPLS8BC","2018","Pride, David; Knoth, Petr","Peer Review and Citation Data in Predicting University Rankings, a Large-Scale Analysis","ECDL-TPDL","bibliometric indicators; citation data; peer review; university ranking"
"GXL5H9NP","2018","Tran, Vu; Fuhr, Norbert","Personalised Session Difficulty Prediction in an Online Academic Search Engine","ECDL-TPDL","HMM; log; Markov; search; search engine"
"AB5HZB9Q","2018","Vakkari, Pertti; Völske, Michael; Potthast, Martin; Hagen, Matthias; Stein, Benno","Predicting Retrieval Success Based on Information Use for Writing Tasks","ECDL-TPDL","essay writing; predictors; retrieval"
"SDXSCXMH","2018","Medrek, Justyna; Otto, Christian; Ewerth, Ralph","Recommending Scientific Videos Based on Metadata Enrichment Using Linked Open Data","ECDL-TPDL","GND; Leibniz; linked open data; metadata enrichment; scientific videos; TIB; user study; visual concept classification"
"78VBRBQ5","2018","Bakos, Asztrik; Miksa, Tomasz; Rauber, Andreas","Research Data Preservation Using Process Engines and Machine-Actionable Data Management Plans","ECDL-TPDL","data management plans; funder requirements; preservation; research data"
"MCVNT76Y","2018","Lobbé, Quentin","Revealing Historical Events Out of Web Archives","ECDL-TPDL","TPDL"
"ZBVFGM22","2018","María González Pinto, José; Balke, Wolf-Tilo","Scientific Claims Characterization for Claim-Based Analysis in Digital Libraries","ECDL-TPDL","TPDL"
"X2DS98RZ","2018","Monteiro, Cláudio; Teixeira Lopes, Carla; Rocha Silva, João","Supporting Description of Research Data: Evaluation and Comparison of Term and Concept Extraction Approaches","ECDL-TPDL","TPDL"
"FQEB7VS7","2018","Springstein, Matthias; Hung Nguyen, Huu; Hoppe, Anett; Ewerth, Ralph","TIB-arXiv: An Alternative Search Portal for the arXiv Pre-print Server","ECDL-TPDL","arXiv; interface; search; TIB; user interface"
"INTTG8C8","2018","Thumbumrung, Titima; Aroonpiboon, Boonlert","The Emergence of Thai OER to Support Open Education","ECDL-TPDL","TPDL"
"F8L4T52F","2018","Pacheco, André","The FAIR Accessor as a Tool to Reinforce the Authenticity of Digital Archival Information","ECDL-TPDL","TPDL"
"35JJWRKH","2018","An, Ya-Hui; Kumar Chandresekaran, Muthu; Kan, Min-Yen; Fu, Yan","The MUIR Framework: Cross-Linking MOOC Resources to Enhance Discussion Forums","ECDL-TPDL","framework; MOOC; MUIR; online learning; wikification"
"ZGR7R9LD","2018","Gottschalk, Simon; Bernacchi, Viola; Rogers, Richard; Demidova, Elena","Towards Better Understanding Researcher Strategies in Cross-Lingual Event Analytics","ECDL-TPDL","event analytics; research strategies"
"N33DD4HN","2018","Vahdati, Sahar; Palma, Guillermo; Jyoti Nath, Rahul; Lange, Christoph; Auer, Sören; Vidal, Maria-Esther","Unveiling Scholarly Communities over Knowledge Graphs","ECDL-TPDL","co-citations; graph partition; knowledge graphs; KORONA; ontology; query processing; scholarly communities; scholarly knowledge graphs; semantic retrieval"
"6ZQEUDUF","2018","Speakman, Robert; Michael Hall, Mark; Walsh, David","User Engagement with Generous Interfaces for Digital Cultural Heritage","ECDL-TPDL","cultural heritage; digital cultural heritage; interfaces"
"5I3P6JZ6","2018","Caragea, Cornelia; Florescu, Corina","Venue Classification of Research Papers in Scholarly Digital Libraries","ECDL-TPDL","automatic classification; metadata; supervised learning; venue classification"
"EMVMMJSI","2018","Klapka, Ondrej; Slaby, Antonin","Visual Analysis of Search Results in Scopus Database","ECDL-TPDL","CiteViz; scopus; visual analysis"
"PAEPRTAV","2018","Milz, Tobias; Seifert, Christin","Who Cites What in Computer Science? - Analysing Citation Patterns Across Conference Rank and Gender","ECDL-TPDL","citation patterns; citations; CORE; DBLP; self-citations; venue reputation"
"7CCPCZB4","2019","Fabris, Erika; Kuhn, Tobias; Silvello, Gianmaria","A Framework for Citing Nanopublications","ECDL-TPDL","citation system; framework; nanopub; nanopublications"
"SQ7WIPTT","2019","Caled, Danielle; Won, Miguel; Martins, Bruno; J. Silva, Mário","A Hierarchical Label Network for Multi-label EuroVoc Classification of Legislative Contents","ECDL-TPDL","classifier; descriptors; EUPO; EUR-Lex PT; EuroVoc; Portugese; thesaurus"
"KY3D9ZIW","2019","Fathalla, Said; Lange, Christoph; Auer, Sören","A Human-Friendly Query Generation Frontend for a Scientific Events Knowledge Graph","ECDL-TPDL","dataset; EVENTSKG; frontend; knowledge graph; query; semantic data; SPARQL; SPARQL-AG"
"FFT3UHM7","2019","Vergoulis, Thanasis; Kanellos, Ilias; Tzerefos, Anargiros; Chatzopoulos, Serafeim; Dalamagas, Theodore; Skiadopoulos, Spiros","A Study on the Readability of Scientific Publications","ECDL-TPDL","readability; scientific publications; study"
"EEM84LE2","2019","Ghavimi, Behnam; Otto, Wolfgang; Mayr, Philipp","An Evaluation of the Effect of Reference Strings and Segmentation on Citation Matching","ECDL-TPDL","citation matching; gold standard; manual curation; reference segments; reference strings"
"G9PNTV3H","2019","Kovalchuk, Pavlo; Proença, Diogo; Borbinha, José; Henriques, Rui","An Unsupervised Method for Concept Association Analysis in Text Collections","ECDL-TPDL","concept association analysis; document navigation; unsupervised knowledge discovery; unsupervised method; vector-space models"
"HS58MGXY","2019","Walsh, David; Clough, Paul; M. Hall, Mark; Hopfgartner, Frank; Foster, Jonathan; Kontonatsios, Georgios","Analysis of Transaction Logs from National Museums Liverpool","ECDL-TPDL","cluster analysis; Liverpool; museums; NML; transaction logs"
"IFEFJ5MI","2019","María González Pinto, José; Wawrzinek, Janus; Kori, Suma; Balke, Wolf-Tilo","Can Language Inference Support Metadata Generation?","ECDL-TPDL","annotation; bibliographic metadata; biomedical; deep learning; Doc2Vec; F1 score; indexing; language inference; metadata generation"
"H34XBQQ6","2019","Kettunen, Kimmo; Pääkkönen, Tuula; Liukkonen, Erno","Clipping the Page – Automatic Article Detection and Marking Software in Production of Newspaper Clippings of a Digitized Historical Journalistic Collection","ECDL-TPDL","Finland; PIVAJ; structured access"
"H96PR7V5","2019","Vliegenthart, Daniel; Mesbah, Sepideh; Lofi, Christoph; Aizawa, Akiko; Bozzon, Alessandro","Coner: A Collaborative Approach for Long-Tail Named Entity Recognition in Scientific Publications","ECDL-TPDL","Coner; entity recognition; long-tail entities; NER"
"XMAIV3U3","2019","Kapidakis, Sarantos","Correcting and Redesigning Metadata for the Excavation of an Archaeological Site","ECDL-TPDL","archeology; cataloguing; libraries; metadata; metadata scheme; poster"
"YT7E2XV6","2019","Costa, Lázaro; Rocha da Silva, João","Dendro: A FAIR, Open-Source Data Sharing Platform","ECDL-TPDL","data storage; Dendro; FAIR; FEUP INESC TEC; RDM; research data management; search features"
"8FBTU3NI","2019","Färber, Michael; Sampath, Ashwath","Determining How Citations Are Used in Citation Contexts","ECDL-TPDL","citation recommendation; citations; classification scheme; grammatical role; impact quantification"
"AEM3WFBA","2019","Borovič, Mladen; Ojsteršek, Milan","Document Recommendations in Slovenian Academic Digital Libraries","ECDL-TPDL","architecture; recommender system; Slovenia"
"VNA76TDN","2019","Cristian Dorobăț, Ilie; Posea, Vlad","Enriching the Cultural Heritage Metadata Using Historical Events: A Graph-Based Representation","ECDL-TPDL","cultural heritage; EDM; Europeana; graph-based representation; LIDO; metadata; semantic data"
"H9V2EUZF","2019","Nghiep Tran, Hung; Takasu, Atsuhiro","Exploring Scholarly Data by Semantic Query on Knowledge Graph Embedding Space","ECDL-TPDL","data exploration; data exploration tasks; datasets; heterogeneous entities; knowledge graph; open science; semantic queries; semantic structures"
"F6UIGJUY","2019","Vogel, Inna; Jiang, Peter","Fake News Detection with the New German Dataset “GermanFakeNC”","ECDL-TPDL","alternative facts; automatic classification; claim verification; classification; CNN; Convolutional Neural Network; fake news; false statements; machine learning; SVM"
"77YMFDYQ","2019","Sung, Hsin-Hsuan; Chen, Jou-An; Hsiang, Jieh","Finding Documents Related to Taiwan in the Veritable Records of Qing Using Relevance Feedback","ECDL-TPDL","historical documents; Qing; relevance feedback; Taiwan"
"SQSYKMMP","2019","Krepshaw, Spyke; Lee, Dongwon","Gatekeeper: Quantifying the Impacts of Service to the Scientific Community","ECDL-TPDL","Gatekeeper; gatekeepers; impact; services impact"
"8JLF2MVK","2019","Proença, Diogo; Borbinha, José","Information Governance Maturity Assessment Using Enterprise Architecture Model Analysis and Description Logics","ECDL-TPDL","ArchiMate; information governance; maturity model; models; SEI SCAMPI"
"ETHH6IRG","2019","J. Pessoa Junior, Geraldo; M. R. Dias, Thiago; H. P. Silva, Thiago; H. F. Laender, Alberto","Interdisciplinary Collaborations in the Brazilian Scientific Community","ECDL-TPDL","Brazil; classification scheme; interdisciplinarity"
"HNT5ZVQ2","2019","Pustu-Iren, Kader; Mühling, Markus; Korfhage, Nikolaus; Bars, Joanna; Bernhöft, Sabrina; Hörth, Angelika","Investigating Correlations of Inter-coder Agreement and Machine Annotation Performance for Historical Video Data","ECDL-TPDL","annotation; broadcasting archive; concept classification; DRA; GDR; lexicon; semantic search; video indexing; visual concept classification; visual concepts"
"DEYI99DB","2019","Koch, Inês; Freitas, Nuno; Ribeiro, Cristina; Teixeira Lopes, Carla; Rocha da Silva, João","Knowledge Graph Implementation of Archival Descriptions Through CIDOC-CRM","ECDL-TPDL","ArchGraph; archival descriptions; ArchOnto; CIDOC; CIDOC CRM; hierarchical structure; ISAAR(CPF); ISAD(G); knowledge graph; ontology; Portugal"
"LTAE2ZR9","2019","María González Pinto, José; Celik, Serkan; Balke, Wolf-Tilo","Learning to Rank Claim-Evidence Pairs to Assist Scientific-Based Argumentation","ECDL-TPDL","claims; domain knowledge; metadata; ranking; scientific argumentation; specific attributes"
"8WB87EGN","2019","Wawrzinek, Janus; María González Pinto, José; Balke, Wolf-Tilo","Linking Semantic Fingerprints of Literature – from Simple Neural Embeddings Towards Contextualized Pharmaceutical Networks","ECDL-TPDL","embedded knowledge; entity-specific thresholds; hypothesis generation; learned relationships; methodology; neural-language models; pharmaceutical entities; pharmaceutical networks; pharmacy; semantic fingerprints; semantic quality"
"PJK2MF8X","2019","Wang, Shenghui; Koopman, Rob; Englebienne, Gwenn","Non-Parametric Subject Prediction","ECDL-TPDL","automatic subject prediction; classifiers; data sparsity; manual indexing; model scalability; multi-label classification; Non-Parametric Subject Prediction; predictions; semantic space; specialised subjects; subject prediction; training set"
"WNSES5HM","2019","Müller, Mark-Christoph; Bannister, Adam; Reitz, Florian","Off-the-shelf Semantic Author Name Disambiguation for Bibliographic Data Bases","ECDL-TPDL","author names; bibliographic databases; comparison; demo; disambiguation; natural language processing; NLP; title semantics"
"UI6SBUBU","2019","Yaser Jaradeh, Mohamad; Oelen, Allard; Prinz, Manuel; Stocker, Markus; Auer, Sören","Open Research Knowledge Graph: A System Walkthrough","ECDL-TPDL","infrastructure; knowledge graph; machine processing; Open Research Knowledge Graph; ORKG; representations; scholarly knowledge"
"HVEWES5F","2019","Werla, Marcin","Qatar Digital Library as a Platform for Digital Repatriation of Qatar’s Cultural Heritage","ECDL-TPDL","cultural heritage; digital repatriation; Qatar; Qatar Digital Library"
"UK9SQYPK","2019","Usta, Arif; Sengor Altingovde, Ismail; Ozcan, Rifat; Ulusoy, Özgür","Re-finding Behaviour in Educational Search","ECDL-TPDL","behaviours; re-finding; web search"
"B8XFABU9","2019","Chatzopoulos, Serafeim; Deligiannis, Panagiotis; Vergoulis, Thanasis; Kanellos, Ilias; Tryfonopoulos, Christos; Dalamagas, Theodore","SciTo Trends: Visualising Scientific Topic Trends","ECDL-TPDL","keyword-based search; SciTo; trend monitoring"
"GVJS9U3C","2019","Gomes, Pedro; Martins, Bruno; Cruz, Luís","Segmenting User Sessions in Search Engine Query Logs Leveraging Word Embeddings","ECDL-TPDL","experiments; FastText; lexical similarity; query logs; rankings; segmenting; similarity metrics; supervised learning algorithms; temporal proximity; temporal similarity; unsupervised method; user sessions; word embeddings"
"B79NLHR5","2019","Vahdati, Sahar; Fathalla, Said; Auer, Sören; Lange, Christoph; Vidal, Maria-Esther","Semantic Representation of Scientific Publications","ECDL-TPDL","Aurora; crowd-sourcing workflow; OpenResearch.org; research artifacts; research findings; semantic representation; semantic wiki"
"FAMLBDVC","2019","Herold, Elisa; Pöckelmann, Marcus; Berg, Christian; Ritter, Jörg; M. Hall, Mark","Stable Word-Clouds for Visualising Text-Changes Over Time","ECDL-TPDL","layout algorithm; spiral-based layout algorithm; text change; visualization; word clouds"
"VYA4NQKS","2019","R. Kalfatovic, Martin; Costantino, Grace; A. Rinaldo, Constance","The Biodiversity Heritage Library: Unveiling a World of Knowledge About Life on Earth","ECDL-TPDL","API; BHL; biodiversity; Biodiversity Heritage Library; digital object identifiers; full-text search"
"DNIYP6FM","2019","A. Salatino, Angelo; Osborne, Francesco; Thanapalasingam, Thiviyan; Motta, Enrico","The CSO Classifier: Ontology-Driven Detection of Research Topics in Scholarly Articles","ECDL-TPDL","classification; computer science; CSO classifier; gold standard; ontology; research topics"
"RRP5VT2I","2019","Lamont, Lisa; Lanthorne, Amanda; Lucas, Arel; Romabiles, Katie; Zielinski, Christine; Ferrill, Matthew","The Immigration Dilemma; Legal, Ethical and Practical Issues in Creating a Living, Growing Archive","ECDL-TPDL","etical issues; failed public policy; immigration; legal issues; letters; public policy; SDSU"
"48LFVIUK","2019","Klein, Martin; Shankar, Harihar; Balakireva, Lyudmila; Van de Sompel, Herbert","The Memento Tracer Framework: Balancing Quality and Scalability for Web Archiving","ECDL-TPDL","framework; Internet Archive; Memento; Memento Tracer; web archiving; Webrecorder"
"KKIPPZXG","2019","Baglioni, Miriam; Bardi, Alessia; Kokogiannaki, Argiro; Manghi, Paolo; Iatropoulou, Katerina; Principe, Pedro","The OpenAIRE Research Community Dashboard: On Blending Scientific Workflows and Scientific Publishing","ECDL-TPDL","Open Science; OpenAIRE; RCD; scholarly communication"
"WZUXZDEU","2019","Batista-Navarro, Riza; Hawkins, Oliver","Topic Modelling vs Distant Supervision: A Comparative Evaluation Based on the Classification of Parliamentary Enquiries","ECDL-TPDL","House of Commons Library; model performance; parliamentary enquiries; structured metadata; text classification; topic modelling; UK"
"EHWX9QTY","2019","Nishioka, Chifumi; Hauk, Jörn; Scherp, Ansgar","Towards Serendipitous Research Paper Recommender Using Tweets and Diversification","ECDL-TPDL","recommendations; tweets"
"2K9X7JVJ","2019","Wohlmuth, Camila; Correia, Nuno","User Interface for Interactive Scientific Publications: A Design Case Study","ECDL-TPDL","case study; design; interactive multimedia publishing design; scientific publications; user interface"
"AXDW4JEE","2019","Trabelsi, Marwa; Suire, Cyrille; Morcos, Jacques; Champagnat, Ronan","User’s Behavior in Digital Libraries: Process Mining Exploration","ECDL-TPDL","cultural heritage; process mining; user behaviour"
"227U8EXD","2019","Zhou, Hang; Otto, Christian; Ewerth, Ralph","Visual Summarization of Scholarly Videos Using Word Embeddings and Keyphrase Extraction","ECDL-TPDL","annotations; Germany; keyphrase extraction; learning resource; scholarly videos; semantic word embeddings; TIB; user study; video; video annotations; visual summarization; word embeding"
"9K2Y67PF","2019","Jain, Nitisha; Krestel, Ralf","Who is Mona L.? Identifying Mentions of Artworks in Historical Archives","ECDL-TPDL","artwork titles; automatic knowledge graph construction; cultural heritage; high-quality training data; information retrieval; named entity recognition; NER; retrieval; semi-supervised approach"
"TAPZX75Z","2019","Li, Hui; Hou, Junming; Chen, Yuanyuan; Liu, Keven","À la Carte: Turning Historical Menu into Menu Network","ECDL-TPDL","digitization; menu network model; New York; NYPL"
"ZMFYEEDR","2020","Weber, Tobias","A Philological Perspective on Meta-scientific Knowledge Graphs","ECDL-TPDL","entity; knowledge graphs; metadata; philological viewpoint; scientific discourse"
"GZFH9NT7","2020","Arani, Zachary; Chapman, Drake; Wang, Chenxiao; Gruenwald, Le; d’Orazio, Laurent; Basiuk, Taras","A Scored Semantic Cache Replacement Strategy for Mobile Cloud Database Systems","ECDL-TPDL","cache; cache replacement policy; cloud; Lowest Scored Replacement; LRU; LSR; MOCCAD; NWSA; semantic cache"
"TV9QA5RL","2020","Dziubich, Tomasz; Białas, Paweł; Znaniecki, Łukasz; Halman, Joanna; Brzeziński, Jakub","Abdominal Aortic Aneurysm Segmentation from Contrast-Enhanced Computed Tomography Angiography Using Deep Convolutional Networks","ECDL-TPDL","angiography; computed tomography; convolutional neural networks; deep neural network; Dice metric; ResNet; semantic segmentation; U-Net; VBNet"
"MD93UWFL","2020","Freire, Nuno; Manguinhas, Hugo; Isaac, Antoine","An Observational Study of Equivalence Links in Cultural Heritage Linked Data for agents","ECDL-TPDL","cultural heritage; equivalences; Europeana; graph; knowledge bases; linked data; VIAF; virtualgraph; Wikidata"
"TDI288JP","2020","Marques Tavares, Gabriel; Barbon Jr., Sylvio","Analysis of Language Inspired Trace Representation for Anomaly Detection","ECDL-TPDL","business process; encoding algorithm; natural language encodings; process logs; word2vec"
"2H557ABG","2020","Koch, Inês; Ribeiro, Cristina; Teixeira Lopes, Carla","ArchOnto, a CIDOC-CRM-Based Linked Data Model for the Portuguese Archives","ECDL-TPDL","archives; ArchOnto; CIDOC CRM; ISAD(G); linked data; metadata records; model; ontologies; Portugal; records; RiC-CM; semi-automatic transformation"
"IW3IUG92","2020","Chatzopoulos, Serafeim; Vergoulis, Thanasis; Kanellos, Ilias; Dalamagas, Theodore; Tryfonopoulos, Christos","ArtSim: Improved Estimation of Current Impact for Recent Articles","ECDL-TPDL","ArtSim; citation-based measures; paper impact; scholarly knowledge graphs"
"7BH2EUXD","2020","Hamdi, Ahmed; Jean-Caurant, Axel; Sidère, Nicolas; Coustaty, Mickaël; Doucet, Antoine","Assessing and Minimizing the Impact of OCR Quality on Named Entity Recognition","ECDL-TPDL","digitization; F1; Finland; named entities; named entity recognition; NER; OCR; quality"
"97YGNTKX","2020","Brzeski, Adam; Cychnerski, Jan; Draszawka, Karol; Dziubich, Krystyna; Dziubich, Tomasz; Korłub, Waldemar","Automated Classifier Development Process for Recognizing Book Pages from Video Frames","ECDL-TPDL","augmented reality; automated classifier"
"LQIRLQP4","2020","Carevic, Zeljko; Roy, Dwaipayan; Mayr, Philipp","Characteristics of Dataset Retrieval Sessions: Experiences from a Real-Life Digital Library","ECDL-TPDL","datasets; social sciences; survey"
"MX28P2SE","2020","Magalhães, Dimmy; Pozo, Aurora","Classification of Relationship in Argumentation Using Graph Convolutional Network","ECDL-TPDL","ArgGCN; argumentation; framework; GCN; Graph Convolutional Network"
"R9UTEEE4","2020","Kroll, Hermann; Kalo, Jan-Christoph; Nagel, Denis; Mennicke, Stephan; Balke, Wolf-Tilo","Context-Compatible Information Fusion for Scientific Knowledge Graphs","ECDL-TPDL","entity facts; knowledge graph; PubMed; SemMedDB"
"2D3C4MG4","2020","Baglioni, Miriam; Manghi, Paolo; Mannocci, Andrea","Context-Driven Discoverability of Research Data","ECDL-TPDL","OpenAIRE; research data; reuse data; Scholexplorer; semantic relatedness"
"T97MHBR3","2020","Alvarez de Toledo, Damien; d’Orazio, Laurent; Andres, Frederic; C. A. Leite, Maria","Cooking Related Carbon Footprint Evaluation and Optimisation","ECDL-TPDL","CROPPER; green house gas"
"7VBQEKND","2020","Reyes Ayala, Brenda","Correspondence as the Primary Measure of Quality for Web Archives: A Grounded Theory Study","ECDL-TPDL","Archive-It; quality; study; web archives"
"PHJZHMDQ","2020","Kovacevic, Ana; Vukicevic, Milan; Radovanovic, Sandro; Delibasic, Boris","CrEx-Wisdom Framework for Fusion of Crowd and Experts in Crowd Voting Environment – Machine Learning Approach","ECDL-TPDL","crowdsourcing; framework; machine learning"
"6QBNWK42","2020","Chialva, Diego; Mugabushaka, Alexis-Michel","DINGO: An Ontology for Projects and Grants Linked Data","ECDL-TPDL","data modeling; DINGO; ontology"
"BHLXP6NX","2020","Vargas-Solar, Genoveva; Zechinelli-Martini, José-Luis; A. Espinosa-Oviedo, Javier","Enacting Data Science Pipelines for Exploring Graphs: From Libraries to Studios","ECDL-TPDL","data science pipelines; graph exploration; graphs"
"QEFCICDX","2020","Odhiambo Owuor, Dickson; Laurent, Anne; Onderi Orero, Joseph","Exploiting IoT Data Crossings for Gradual Pattern Mining Through Parallel Processing","ECDL-TPDL","computational performance; fuzzy; fuzzy temporal; IoT; pattern mining"
"ULICS5E3","2020","Wu, Xiaoying; Theodoratos, Dimitri; Skoutas, Dimitrios; Lan, Michael","Exploring Citation Networks with Hybrid Tree Pattern Queries","ECDL-TPDL","citation networks; hybris tree pattern queries; scientific impact"
"9IIILN3F","2020","Marchand, Erwan; Gagnon, Michel; Zouaq, Amal","Extraction of a Knowledge Graph from French Cultural Heritage Documents","ECDL-TPDL","Canada; French; heritage documents; knowledge graph; Quebec; unstructured documents"
"VWBWABD9","2020","M. G. Duarte, Mariana; Schroeder, Rebeca; S. Hara, Carmem","Grid-Based Clustering of Waze Data on a Relational Database","ECDL-TPDL","clustering; gris; index structure; R-tree index; relational database; Waze"
"CITQT9Q6","2020","Serra, Flavia","Handling Context in Data Quality Management","ECDL-TPDL","data quality; data quality management; PhD thesis"
